year,state,month,number,date
1999,Ceara,Fevereiro,16,1999-02-01
1999,Ceara,Mar�o,30,1999-03-01
1999,Ceara,Abril,6,1999-04-01
1999,Ceara,Maio,5,1999-05-01
1999,Ceara,Junho,16,1999-06-01
1999,Ceara,Julho,83,1999-07-01
1999,Ceara,Agosto,131,1999-08-01
1999,Ceara,Setembro,124,1999-09-01
1999,Ceara,Outubro,309,1999-10-01
1999,Ceara,Novembro,524,1999-11-01
1999,Ceara,Dezembro,397,1999-12-01
1999,Maranhao,Janeiro,54,1999-01-01
1999,Maranhao,Fevereiro,6,1999-02-01
1999,Maranhao,Mar�o,17,1999-03-01
1999,Maranhao,Abril,4,1999-04-01
1999,Maranhao,Maio,3,1999-05-01
1999,Maranhao,Junho,32,1999-06-01
1999,Maranhao,Julho,258,1999-07-01
1999,Maranhao,Agosto,895,1999-08-01
1999,Maranhao,Setembro,1739,1999-09-01
1999,Maranhao,Outubro,3208,1999-10-01
1999,Maranhao,Novembro,1494,1999-11-01
1999,Maranhao,Dezembro,1001,1999-12-01
1999,Paraiba,Janeiro,26,1999-01-01
1999,Paraiba,Fevereiro,2,1999-02-01
1999,Paraiba,Mar�o,1,1999-03-01
1999,Paraiba,Abril,3,1999-04-01
1999,Paraiba,Maio,0,1999-05-01
1999,Paraiba,Junho,1,1999-06-01
1999,Paraiba,Julho,1,1999-07-01
1999,Paraiba,Agosto,4,1999-08-01
1999,Paraiba,Setembro,14,1999-09-01
1999,Paraiba,Outubro,48,1999-10-01
1999,Paraiba,Novembro,38,1999-11-01
1999,Paraiba,Dezembro,40,1999-12-01
1999,Pernambuco,Janeiro,102,1999-01-01
1999,Pernambuco,Fevereiro,13,1999-02-01
1999,Pernambuco,Mar�o,27,1999-03-01
1999,Pernambuco,Abril,2,1999-04-01
1999,Pernambuco,Maio,6,1999-05-01
1999,Pernambuco,Junho,7,1999-06-01
1999,Pernambuco,Julho,2,1999-07-01
1999,Pernambuco,Agosto,3,1999-08-01
1999,Pernambuco,Setembro,64,1999-09-01
1999,Pernambuco,Outubro,180,1999-10-01
1999,Pernambuco,Novembro,41,1999-11-01
1999,Pernambuco,Dezembro,16,1999-12-01
1999,Piaui,Janeiro,21,1999-01-01
1999,Piaui,Fevereiro,22,1999-02-01
1999,Piaui,Mar�o,4,1999-03-01
1999,Piaui,Abril,10,1999-04-01
1999,Piaui,Maio,8,1999-05-01
1999,Piaui,Junho,47,1999-06-01
1999,Piaui,Julho,123,1999-07-01
1999,Piaui,Agosto,499,1999-08-01
1999,Piaui,Setembro,872,1999-09-01
1999,Piaui,Outubro,1438,1999-10-01
1999,Piaui,Novembro,334,1999-11-01
1999,Piaui,Dezembro,74,1999-12-01
1999,Sergipe,Janeiro,36,1999-01-01
1999,Sergipe,Fevereiro,25,1999-02-01
1999,Sergipe,Mar�o,18,1999-03-01
1999,Sergipe,Abril,6,1999-04-01
1999,Sergipe,Maio,0,1999-05-01
1999,Sergipe,Junho,0,1999-06-01
1999,Sergipe,Julho,0,1999-07-01
1999,Sergipe,Agosto,0,1999-08-01
1999,Sergipe,Setembro,0,1999-09-01
1999,Sergipe,Outubro,0,1999-10-01
1999,Sergipe,Novembro,3,1999-11-01
1999,Sergipe,Dezembro,5,1999-12-01
2000,Alagoas,Janeiro,11,2000-01-01
2000,Alagoas,Fevereiro,16,2000-02-01
2000,Alagoas,Mar�o,32,2000-03-01
2000,Alagoas,Abril,20,2000-04-01
2000,Alagoas,Maio,1,2000-05-01
2000,Alagoas,Junho,0,2000-06-01
2000,Alagoas,Julho,0,2000-07-01
2000,Alagoas,Agosto,4,2000-08-01
2000,Alagoas,Setembro,22,2000-09-01
2000,Alagoas,Outubro,13,2000-10-01
2000,Alagoas,Novembro,2,2000-11-01
2000,Alagoas,Dezembro,2,2000-12-01
2000,Bahia,Janeiro,31,2000-01-01
2000,Bahia,Fevereiro,32,2000-02-01
2000,Bahia,Mar�o,65,2000-03-01
2000,Bahia,Abril,23,2000-04-01
2000,Bahia,Maio,71,2000-05-01
2000,Bahia,Junho,178,2000-06-01
2000,Bahia,Julho,202,2000-07-01
2000,Bahia,Agosto,633,2000-08-01
2000,Bahia,Setembro,2285,2000-09-01
2000,Bahia,Outubro,3.35,2000-10-01
2000,Bahia,Novembro,114,2000-11-01
2000,Bahia,Dezembro,24,2000-12-01
2000,Ceara,Janeiro,1,2000-01-01
2000,Ceara,Fevereiro,6,2000-02-01
2000,Ceara,Mar�o,9,2000-03-01
2000,Ceara,Abril,15,2000-04-01
2000,Ceara,Maio,7,2000-05-01
2000,Ceara,Junho,16,2000-06-01
2000,Ceara,Julho,18,2000-07-01
2000,Ceara,Agosto,79,2000-08-01
2000,Ceara,Setembro,127,2000-09-01
